pergunta;alternativas;resposta_certa;alternativa_1;alternativa_2;alternativa_3;embaralhar
Esgrima, Badminton ou Natação. Em que esporte se usa um florete?;5;A;-;-;-;N
Palhetas, Baquetas ou Raquetas. Do que precisamos para tocar bateria?;5;B;-;-;-;N
"Hino, Bandeira ou Parlamento. ""Union Jack"" é o nome dado a qual destes no Reino Unido?";5;B;-;-;-;N
Besiktas, Galatasaray ou Fenerbahçe. Qual time turco foi treinado por Jorge Jesus?;5;C;-;-;-;N
Escudo, Peseta ou Lira. Qual era a moeda de Portugal antes de adotar o euro?;5;A;-;-;-;N
Islândia, Suécia ou Dinamarca. Qual país fica entre Noruega e a Finlândia?;5;B;-;-;-;N
"Da Vinci, Van Gogh ou Renoir. Quem pintou ""A Noite Estrelada""?";5;B;-;-;-;N
Atlântico, Índico ou Pacífico. Qual oceano fica entre a Ásia e as Américas?;5;C;-;-;-;N
Marte, Vênus ou Júpiter. Qual é o planeta mais próximo da Terra?;5;A;-;-;-;N
Fígado, Pele ou Pulmão. Qual é o maior órgão do corpo humano?;5;B;-;-;-;N
"Toquinho, Vinícius de Moraes, Ari Barroso. Quem é o autor da música ""Aquarela do Brasil""?";5;C;-;-;-;N
Soteropolitano, Salvadorense ou Potiguar. Como é conhecido quem nasce em Salvador?;5;A;-;-;-;N
"Joaquin Phoenix, Russell Crowe ou Brad Pitt. Qual ator protagoniza o filme ""Gladiador""?";5;B;-;-;-;N
Amazonas, Roraima ou Rondônia. Em que estado fica o Pico da Neblina?;5;A;-;-;-;N
"É o Tchan, Sorriso Maroto ou Braga Boys. Qual grupo cantava o hit ""Uma Bomba"", de 2000?";5;C;-;-;-;N
Berlim, Baviera ou Saxônia. Em que região da Alemanha se localiza o Bayern de Munique?;5;B;-;-;-;N
Italianos, Franceses ou Chineses. Quem inventou o sorvete?;5;C;-;-;-;N
Filipinas, Índia ou Turquia. O sari é uma roupa feminina típica de qual país?;5;B;-;-;-;N
1 mil, 2 mil ou 5 mil. Quantos estavam na multidão que Jesus alimentou com pães e peixes?;5;C;-;-;-;N
América Central, Oceania ou Ásia. Onde estão localizadas as Honduras?;5;A;-;-;-;N
Luxemburgo, Singapura ou Chipre. Qual país tem como capital Nicósia?;5;C;-;-;-;N
Coxa, Ombro ou Braço. Onde está localizado o músculo trapézio?;5;B;-;-;-;N
Alasca, Arizona ou Alabama. Qual desses estados americanos não está localizado dentro dos Estados Unidos?;5;A;-;-;-;N
Qual é o nome dado à ausência congênita dos dentes?;3;Anodontia;Andodontia;Dentologia;-;N
O que é uma ocarina?;4;Instrumento musical;Panela de ferro;Peça de carro;Objeto de cozinha;N
Em que país africano se localiza a cidade de Luxor?;4;Egito;Argélia;Líbia;Moçambique;N
Em que parte do corpo são implantadas as pontes de safena?;3;Coração;Pulmão;Intestino;-;N
Quando foi inaugurado o Eurotúnel, que liga a França ao Reino Unido?;4;1994;1995;1996;1992;N
Quando Blumenau em Santa Catarina virou cidade?;4;1850;1890;1910;1880;N
Croácia, Bósnia ou Eslováquia. Em que país dos tempos atuais nasceu o brilhante Nikola Tesla?;5;A;-;-;-;N
"Álvares de Azevedo, Gonçalves Dias, José de Alencar. Quem escreveu ""I-Juca-Pirama""?";5;B;-;-;-;N
A Lei de Moore diz que o número de qual dispositivo nos chips dobraria pelo mesmo custo e processamento? ;3;Transistor;Indutor;Capacitor;-;N
Lisboano, Lisboense ou Lisboeta. Como se chama quem nasce em Lisboa?;5;C;-;-;-;N
"Intencional, Institucional ou Idealizador. O que significa o ""I"" da sigla ""AI-5""?";5;B;-;-;-;N
"Caçador, Detetive ou Policial. Em inglês, o que significa ""hunter""?";5;A;-;-;-;N
"Em inglês, o que significa o verbo composto ""stay away from""?";3;Evitar;Confrontar;Antecipar;-;N
O Roleta Russa passava na quinta-feira e depois, mudou para sexta-feira. Quais são esses dias da semana em inglês?;4;Thursday and Friday;Tuesday and Thursday;Tuesday and Friday;Monday and Saturday;N
No inglês, como se chama o irmão do seu pai?;3;Uncle;Aunt;Father;-;N
Quem tomou posse formal da Austrália em 23 de agosto de 1770?;3;James Cook;Phillip Nelson;William Gardner;-;N
Qual frase o cosmonauta Yuri Gagarin disse quando estava em órbita?;3;A Terra é azul;A Terra é redonda;A Terra é linda;-;N
Quem assumiu a presidência da República após a morte de Afonso Pena?;4;Nilo Peçanha;Campos Sales;Venceslau Brás;Rodrigues Alves;N
Quem era o presidente do Brasil durante a Primeira Guerra Mundial?;4;Venceslau Brás;Floriano Peixoto;Afonso Pena;Getúlio Vargas;N
Qual presidente do Brasil morreu antes de seu segundo mandato durante a pandemia de gripe espanhola?;3;Rodrigues Alves;Nilo Peçanha;Artur Bernardes;-;N
"Em inglês, o que significa ""to pretend""?";3;Fingir;Pretender;Tendencionar;-;N
"Tocar, Brincar ou Nascer. Qual dessas palavras não significa ""to play"" no inglês?";5;C;-;-;-;N
Any Gabrielly, ex-integrante do grupo Now United, dublou no Brasil qual princesa da Disney?;4;Moana;Mérida;Pocahontas;Rapunzel;N
"Em inglês, qual é o plural da palavra ""child""?";3;Children;Childs;Childes;-;N
"Em inglês, o que significa a sigla ""DIY""?";3;Do It Yourself;Don't Interrupt Yourself;Dance In Your Room;-;N
Qual é o único país que não contém um tom das cores vermelha, branca ou azul?;4;Jamaica;Líbia;Mauritânia;Jordânia;N
Em um ser humano, qual destes ácidos está mais envolvido na digestão de alimentos?;3;Acido clorídrico;Acido salicílico;Ácido fórmico;-;N
6, 7 ou 8. Na escala de pH, qual número é considerado pH neutro?;5;B;-;-;-;N
Quem era o pai de Abraão?;4;Terá;Salomão;José;Matusalém;N
Adão, Abel ou Noé. Quem era o marido da mãe de Caim?;5;A;-;-;-;N
Qual cidade brasileira foi capital de uma colônia holandesa?;3;Recife;Belém;Porto Alegre;-;N
No folclore brasileiro, como se chama o ser mitológico descrito pelos índios como homem transformado em pássaro?;3;Uirapuru;Carcará;Irerê;-;N
"O personagem ""Zeca Urubu"" faz parte de qual desenho?";3;Pica-Pau;Scooby-Doo;Speed Racer;-;N
Qual atriz iniciou carreira no cinema participando da refilmagem de King Kong em 1976?;3;Jessica Lange;Ava Gardner;Rita Hayworth;-;N
"Qual é o nome do Ministro da Fazenda que lançou o ""Plano Cruzado 1""?";3;Dilson Funaro;Zélia Cardoso;Francisco Dornelles;-;N
Em que parte do corpo humano podem ser encontrados os bastonetes?;4;Olhos;Joelho;Rins;Nariz;N
Qual foi o primeiro homem a pisar na Lua?;4;Neil Armstrong;Buzz Aldrin;Michael Collins;James Lovell;N
Qual destes livros não foi escrito por Jorge Amado?;3;Iracema;Mar Morto;Tieta do Agreste;-;N
Em que filme Tom Hanks ganhou seu primeiro Oscar?;3;Filadélfia;Forrest Gump;Apollo 13;-;N
O cantor Ricky Martin fez parte de qual grupo?;3;Menudos;Dominó;Tremendo;-;N
O camembert é um tipo de quê?;3;Queijo;Vinho;Molho;-;N
"Qual astro da NBA estrelou no filme de comédia ""Apertem os Cintos: O Piloto Sumiu""?";4;Kareem Abdul-Jabbar;Michael Jordan;Bill Russell;Larry Bird;N
Em que ano Ayrton Senna decidiu seu título no Japão ao bater na Ferrari de Alain Prost na primeira curva?;3;1990;1988;1991;-;N
Qual foi o primeiro sucesso de Adoniran Barbosa?;4;Saudosa Maloca;Trem das Onze;Iracema;Tiro ao Álvaro;N
Qual país venceu a Guerra do Pacífico, que durou de 1879 até 1883?;3;Chile;Peru;Bolívia;-;N
Equador, Peru ou Chile. A ilha de Páscoa pertence a qual país?;5;C;-;-;-;N
"Abelha, Barata ou Mosquito. A qual inseto está relacionado o termo ""apícola""?";5;A;-;-;-;N
"Quem é o autor do livro ""Ensaio sobre a Cegueira""?";4;José Saramago;Érico Veríssimo;Paulo Coelho;Jorge Amado;N
Qual é o sinônimo de pão pequeno?;3;Pada;Pane;Papilho;-;N
Ásia, África ou Europa. Em que continente está localizada a Costa do Marfim?;5;B;-;-;-;N
O bramanismo é uma religião proveniente de qual país?;3;Índia;Tailândia;China;-;N
"Qual cantora era chamada de ""Musa da Bossa Nova""?";4;Nara Leão;Elis Regina;Maysa;Nana Caymmi;N
"Como é escrito em latim o ditado ""A voz do povo é a voz de Deus""?";3;Vox populi, vox Dei;Popularum, vox Regina;Popularum Dei Agnus;-;N
Qual era a nacionalidade do ator Bruce Lee?;4;Americana;Chinesa;Tailandesa;Coreana;N
Quantos signos do zodíaco são representados por animais, incluindo os mitólogicos?;4;Oito;Nove;Seis;Sete;3412
Biscuit, Croissant ou Escargot. Na França, qual é o nome dado a moluscos comestíveis?;5;C;-;-;-;N
"Qual jogador recebeu o apelido de ""O Anjo das Pernas Tortas""?";4;Garrincha;Ademir da Guia;Zico;Nilton Santos;N
Marisa Monte, Arnaldo Antunes e Carlinhos Brown formam qual grupo musical?;4;Tribalistas;O Rappa;Tihuana;Los Hermanos;N
Bolívia, Colômbia, Uruguai. Qual país sul-americano tem duas capitais?;5;A;-;-;-;N
Casa Rosada, Casa Branca, Palácio do Planalto. Onde fica o chamado Salão Oval?;5;B;-;-;-;N
Falcão, Gérson, Tostão. Quem interrompeu a carreira devido a um deslocamento de retina?;5;C;-;-;-;N
4983, 5003, 5782. Em que ano estamos atualmente pelo calendário judeu?;5;C;-;-;-;N
Bob Kane era desenhista de qual série de quadrinhos?;4;Batman;Manda-chuva;Snoopy;Garfield;N
Quantas ondas tem a imagem de pagamento por aproximação que aparece nos novos cartões?;4;4;5;6;3;N
Em que ano foi lançado o Pix?;4;2020;2019;2021;2018;N
Qual time dos Estados Unidos contratou o craque argentino Lionel Messi?;4;Inter Miami;Orlando City;Los Angeles Galaxy;NY Red Bulls;N
Qual destes países não faz fronteira com a Costa Rica?;3;Porto Rico;Nicarágua;Panamá;-;N
Alemão, Italiano ou Espanhol. Qual destas línguas não é oficial da Suíça?;5;C;-;-;-;N
IPVA, IPTU, ICMS. Qual é o imposto pago sobre imóveis?;5;B;-;-;-;N
Em que país nasceu o YouTuber PewDiePie?;4;Suécia;Noruega;Finlândia;Dinamarca;N
Gregoriano, Juliano ou Cesariano. Qual é o calendário que nós utilizamos?;5;A;-;-;-;N
Jacarepaguá, Interlagos ou Curitiba. Em que autódromo ocorre o Grande Prêmio do Brasil de Fórmula 1?;5;B;-;-;-;N
Qual é o símbolo químico do érbio?;3;Er;E;Eb;-;N
"Onde mora o Mau, personagem da série infantil ""Castelo Rá-Tim-Bum"", de 1994?";4;Nos encanamentos;Na árvore;Na cozinha;Na biblioteca;N
Roraima, Rondônia ou Amazonas. Em que estado acontece o Encontro das Águas?;5;C;-;-;-;N
Em que década nasceu o ator Wesley Snipes?;4;1960;1970;1980;1990;1234
No seriado Lost, quem era o líder dos Outros?;4;Benjamin Linus;John Locke;Jack Shephard;Charles Widmore;N
Por qual partido Donald Trump foi eleito presidente dos EUA?;3;Republicano;Democrata;Federal;-;N
Qual oceano contém a fossa das Marianas?;3;Pacífico;Atlântico;Índico;-;N
Hóquei, Futebol Americano ou Basquete. A Stanley Cup é um torneio de qual esporte?;5;A;-;-;-;N
Em que cidade americana nasceu o jazz?;4;Nova Orleans;São Francisco;Nova Iorque;Chicago;N
Em Mônaco, quem é o chefe de estado?;3;Príncipe;Rei;Primeiro-ministro;-;N
Tango, Balé ou Lambada. Qual destas opções não é uma dança de salão?;5;B;-;-;-;N
Qual é a fórmula química do ácido sulfúrico?;4;H2SO4;HSO3;H3SO4;H3SO3;N
Qual era a numeração ordinal da rainha Cleópatra?;4;VII;VI;IV;III;N
Quanto tempo a Estação Espacial Internacional leva para dar uma volta ao redor da Terra?;3;1 hora e meia;3 horas;12 horas;-;N
Qual é o estilo arquitetônico da catedral de Notre Dame?;3;Gótico;Neoclássico;Barroco;-;N
Sassá Mutema foi personagem de qual novela da Globo?;4;O Salvador da Pátria;Vamp;Brega e Chique;Selva de Pedra;N
Jabaquara, Saúde e Portuguesa-Tietê são estações presentes em qual linha metroviária de São Paulo?;4;Azul;Amarela;Verde;Lilás;N
De qual país os Estados Unidos compraram o Alasca em 1867?;3;Rússia;França;México;-;N
Onde vestimos dragonas?;3;Nos ombros;Na cabeça;Nos pés;-;N
"Quem escreveu o livro ""A Revolução dos Bichos""?";4;George Orwell;H. G. Wells;D. H. Lawrence;Thomas Hardy;N
Plaid Cymru é um partido nacionalista de qual parte das Ilhas Britânicas?;3;País de Gales;Escócia;Ilha de Man;-;N
"Complete a frase da Shahadah, que está na bandeira da Arábia Saudita: ""Não há Deus senão Alá, e Maomé é o seu...""";3;Mensageiro;Profeta;Filho;-;N
Em que país nasceu o bilionário Elon Musk?;4;África do Sul;Estados Unidos;Reino Unido;Canadá;N
Em que país se fala o gilbertês?;4;Kiribati;Tonga;Sri Lanka;Trindade e Tobago;N
"Que ator interpretou ""Don Vito Corleone"" no filme ""O Poderoso Chefão 2""?";4;Robert De Niro;Edward Norton;Al Pacino;Gene Wilder;N
Quem inventou as lentes bifocais?;3;Benjamin Franklin;Enrico Fermi;Nikola Tesla;-;N
"O último livro da série ""Harry Potter"" chama-se:";3;As Relíquias da Morte;O Príncipe Mestiço;O Cálice de Fogo;-;N
No universo Harry Potter, quem era o Príncipe Mestiço?;3;Severo Snape;Alvo Dumbledore;Harry Potter;-;N
"Referenciada na obra ""Os Lusíadas"", a ilha de Taprobana corresponde a qual país dos tempos atuais?";4;Sri Lanka;Madeira;Bornéu;Madagascar;N
"No jogo ""Tony Hawk's Pro Skater 2"", qual skatista é o representante brasileiro?";3;Bob Burnquist;Steve Caballero;Eric Koston;-;N
"Qual ator contracena com Jackie Chan na trilogia ""A Hora do Rush""?";4;Chris Tucker;Chris Rock;Ice Cube;Terry Crews;N
Fred Quimby é o famoso produtor de qual série de desenhos animados?;3;Tom & Jerry;Os Simpsons;Pernalonga;-;N
Índico, Pacífico ou Atlântico. O golfo do Omã se localiza em qual oceano?;5;A;-;-;-;N
A Revolução de Veludo aconteceu em 1989 em qual país?;4;Tchecoslováquia;Hungria;Polônia;Alemanha;N
Marta é a maior artilheira da Copa do Mundo feminina com quantos gols?;4;17 gols;15 gols;13 gols;14 gols;N
Qual país conquistou mais vezes a Copa do Mundo feminina?;3;Estados Unidos;Alemanha;Brasil;-;N
Quais países sediaram a Copa do Mundo feminina de 2023?;3;Austrália e Nova Zelândia;Japão e Coreia do Sul;Canadá e EUA;-;N
A Rainha do Futebol Marta joga desde 2017 em qual time?;4;Orlando Pride;Lyon;Santos;Barcelona;N
Bharat é o nome original de qual país?;3;Índia;Egito;Iraque;-;N
Shqipëri é o nome original de qual país?;4;Albânia;Montenegro;Macedônia;Estônia;N
Qual destas alternativas descreve corretamente um triângulo escaleno?;3;Lados diferentes;2 lados iguais;Lados iguais;-;N
Qual foi o primeiro programa da TV brasileira?;3;TV na Taba;Alô, Doçura!;Repórter Esso;-;N
Onde nasceu o ator Anthony Quinn?;3;México;Estados Unidos;Grécia;-;231
Qual destes peixes vive em águas frias?;3;Truta;Carpa;Tilápia;-;231
"Que presidente russo promoveu a ""Perestroika""?";3;Mikhail Gorbachev;Boris Yéltsin;Vladimir Putin;-;312
Que ator interpretou o personagem de novela Beto Rockfeller?;4;Luís Gustavo;Carlos Zara;John Herbert;Tony Ramos;2314
Qual foi a primeira cidade fundada pelos europeus na América?;4;Santo Domingo;São Vicente;Havana;Recife;2134
"No filme ""60 segundos"", com Nicolas Cage, que carro se chama Eleonora?";4;Mustang;Porsche;Ferrari;Mercedes;1243
Qual é a única seleção de futebol que participou de todas as Copas do Mundo?;4;Brasileira;Alemã;Inglesa;Italiana;3241
"Roma, Londres ou Paris. Que cidade é conhecida como ""Cidade-Luz""?";5;C;-;-;-;N
62, 63 ou 64. Em que ano John Kennedy foi assassinado?;5;B;-;-;-;N
A atriz Sônia Braga nasceu em que estado brasileiro?;4;Paraná;Bahia;Rio de Janeiro;São Paulo;N
Qual país é o maior produtor de leite de vaca do mundo?;4;Índia;Estados Unidos;Rússia;Brasil;N
No seriado de TV, qual é a profissão do marido da feiticeira Samantha?;4;Publicitário;Médico;Corretor;Astronauta;N
Qual foi o primeiro presidente a tomar posse em Brasília?;4;Jânio Quadros;Juscelino Kubitschek;João Goulart;Castelo Branco;N
Qual a principal árvore usada na fabricação de papel?;3;Eucalipto;Palmeira;Pinheiro;-;N
"Que lugar é conhecido como ""Esmeralda do Atlântico""?";3;Fernando de Noronha;Recife;Salvador;-;N
Que profissão Mauricio de Sousa exercia antes de criar a Turma da Mônica?;4;Repórter policial;Professor;Feirante;Office Boy;N
"Que parte do olho é popularmente conhecida como ""menina dos olhos""?";4;Pupila;Íris;Retina;Córnea;N
Segundo a mitologia romana, Baco era deus do quê?;4;Vinho;Amor;Vento;Mares;N
"Quem é o autor de ""Os Três Mosqueteiros""?";4;Alexandre Dumas;Émile Zola;Honoré de Balzac;Victor Hugo;N
Que atriz famosa de Hollywood se tornou Princesa de Mônaco em 1956?;4;Grace Kelly;Rita Hayworth;Joan Crawford;Romy Schneider;N
Qual destas cartas não é usada em um jogo de truco?;4;9;6;Ás;Valete;N
Coelho, Camundongo ou Galinha. Qual dos animais se reproduz mais rápido?;5;B;-;-;-;N
3, 4 ou 5. De quantas Olimpíadas participou Oscar Schmidt?;5;C;-;-;-;N
"O filme ""Top Gun: Maverick"" recebeu qual estatueta do Oscar?";3;Melhor Som;Melhor Roteiro Adaptado;Melhor Montagem;-;132
Quem interpretou Batman no filme de 2022?;3;Robert Pattinson;Ben Affleck;Christian Bale;-;N
"Qual cantora compôs a música-tema do filme ""007 - Sem Tempo Para Morrer""?";3;Billie Eilish;Adele;Sam Smith;-;N
Margot Robbie, Brie Larson, Scarlett Johansson. Quem interpretou a Barbie no filme homônimo?;5;A;-;-;-;N
Cillian Murphy, John Krasinski, Chris Pine. Quem interpretou Oppenheimer no filme homônimo?;5;A;-;-;-;N
Em que dia se comemora o Star Wars Day?;3;4 de maio;25 de setembro;14 de maio;-;N
Estados Unidos, Jamaica ou Etiópia. Em que país nasceu Bob Marley?;5;B;-;-;-;N
Pelo que as autoridades finalmente foram capazes de prender Al Capone?;3;Evasão fiscal;Corrupção de menores;Assassinato;-;N
"Base, Vértice ou Altura. Na geometria, qual medida é representada pela letra ""h""?";5;C;-;-;-;N
Em que país nasceu Madre Teresa?;3;Macedônia do Norte;Reino Unido;Índia;-;N
"Sócrates, Heráclito ou René Descartes. Quem disse a frase ""Só sei que nada sei.""?";5;A;-;-;-;N
1784, 1884, 1984. Em que ano aconteceu a Conferência de Berlim?;5;B;-;-;-;N
Preta, Amarela ou Laranja. Qual é a cor das caixas-pretas nos aviões?;5;C;-;-;-;N
Em qual lugar inesperado a protagonista do livro Um Olhar do Paraíso narra sua história?;3;Paraíso;Casa de Susan;Túmulo;-;N
Qual dos presidentes norte-americanos renunciou para não sofrer impeachment?;4;Richard Nixon;George W. Bush;Donald Trump;Abraham Lincoln;N
"Comboio, Carruagem ou Vagonete. Como se chama um ""trem"" em Portugal?";5;A;-;-;-;N
Em que país nasceu a atriz Natalie Portman?;3;Israel;Estados Unidos;França;-;N
Os membros do grupo eletrônico de música Daft Punk vêm de qual país?;3;França;Estados Unidos;Alemanha;-;N
Uma pintura famosa de Ilya Repin mostra qual czar russo se lamentando após matar acidentalmente seu filho?;3;Ivan, O Terrível;Alexandre II;Pedro III;-;N
Qual letra grega está no logo da Wikipédia?;3;Omega;Alpha;Pi;-;N
Se você nascesse em 31 de julho de 2010, quais seriam seus dos signos do zodíaco?;4;Tigre e Leão;Coelho e Áries;Touro e Peixes;Macaco e Libra;N
Qual destes países utiliza um mapa geográfico com o sul no topo ao invés do norte?;4;Nova Zelândia;Canadá;Malásia;Índia;N
Jeffrey Lebowski, Forrest Gump, Tony Stark. Qual personagem de filme enriqueceu vendendo camarão?;5;B;-;-;-;N
Esfera, Cubo, Pirâmide. Na geometria, qual forma tem um ápice?;5;C;-;-;-;N
"Qual universidade é conhecida como o ""think tank"" do Vale do Silício?";4;Stanford;Harvard;Yale;Princeton;N
Ponto, Traço, Ponto e Traço. Ao traduzir do Código Morse, qual vem primeiro alfabeticamente?;5;C;-;-;-;N
Qual destas cores não está na bandeira de Cabo Verde?;4;Verde;Azul;Branco;Vermelho;N
O que a estátua da Vênus de Milo está segurando em sua mão direita?;3;Nada;Espada;Livro;-;N
Qual foi o último clube de Dimitri Payet antes de assinar pelo Vasco da Gama?;3;Olympique de Marselha;West Ham;Lille;-;N
James Rodríguez, meio-campista da Colômbia, não jogou futebol por qual destes times?;4;Benfica;Real Madrid;Bayern de Munique;Al-Rayyan;N
Botafogo, Fluminense ou Flamengo. Por qual destes times Romário nunca jogou?;5;A;-;-;-;N
"Qual é o país natal de Younan Nowzaradan, o Dr. Now da série ""Quilos Mortais""?";3;Irã;Armênia;Azerbaijão;-;N
Em qual das seguintes frases o uso de crase está correto?;4;Vou à padaria;Graças à Deus;Falamos à esta menina;Escreveu à caneta;N
O bolo Souza Leão recebeu o título de patrimônio cultural e imaterial de que estado brasileiro?;4;Pernambuco;São Paulo;Santa Catarina;Mato Grosso;N
Em que país está localizado o Monte Tajumulco, o ponto mais alto da América Central?;3;Guatemala;Honduras;Panamá;-;N
O vencedor das 500 milhas de Indianápolis costuma tomar qual bebida, ao invés de champagne?;3;Leite;Vinho;Café;-;N
Segundo a Bíblia, quem substituiu Judas Iscariotes após a ressurreição de Jesus Cristo?;3;Matias;Misael;Silas;-;N
Patamon é o parceiro digimon de qual dos digiescolhidos?;3;T. K.;Izzy;Joe;-;N
V=(4/3)πr³ é a fórmula que representa o volume de qual sólido geométrico?;3;Esfera;Cilindro;Cone;-;N
"Que tipo de mamífero é o ""Rei Julien"", personagem do filme ""Madagascar""?";3;Lêmure;Saruê;Suricate;-;N
Em 2014, o Brasil tomou 7x1 da Alemanha. Mas, em 2001, o São Paulo tomou 7x1 de que clube?;3;Vasco;Corinthians;Portuguesa;-;N
"Quem gravou o funk ""Tá tranquilo, tá favorável"", lançado em 2015?";3;MC Bin Laden;MC Fioti;MC João;-;N
"Que cantor adulto fez participação especial no clipe da música ""Super Fantástico"" do Balão Mágico?";3;Djavan;Fábio Júnior;Toquinho;-;N
Qual é a fração de votos favoráveis mínima de deputados federais para aprovar um impeachment?;3;2/3;2/5;3/4;-;N
A baunilha é obtida por meio de qual flor?;3;Orquídea;Camélia;Magnólia;-;N
A boneca Susi é originária de qual país?;4;Brasil;Estados Unidos;Espanha;Peru;N
John Williams teve a maioria de suas 52 indicações ao Oscar por qual categoria?;4;Melhor trilha original;Melhor direção;Melhor roteiro adaptado;Melhor edição de som;N
"Contra qual seleção Ronaldo ""Fenômeno"" marcou seu último gol em Copas do Mundo?";4;Gana;Chile;Croácia;México;N
Em que ano foi criada a Zona Franca de Manaus?;4;1967;1678;1789;1926;N
Qual das seguintes frases apresenta uma próclise?;4;Nada a perturba;Dir-lhe-ei a verdade;Ofereceram-me ajuda;Vê se come direito;N
Pernambuco, Pará ou Rio Grande do Norte. Em que estado brasileiro fica a praia de Genipabu?;5;C;-;-;-;N
"1941, 1944 ou 1945. Em que ano ocorreu o famoso ""Dia D""?";5;B;-;-;-;N
Bill Clinton, Barack Obama ou Joe Biden. Hussein é o nome do meio de qual presidente americano?;5;B;-;-;-;N
7, 8 ou 10. Quantas vértebras existem na coluna cervical de um ser humano?;5;A;-;-;-;N
Mil, Dez mil ou Cem. Quantos centímetros há em um decâmetro?;5;A;-;-;-;N
Oncologia, Cirurgia plástica ou Cardiologia. Qual a especialidade médica de Ivo Pitanguy?;5;B;-;-;-;N
Rússia, Dinamarca ou Alemanha. O estrogonofe é um prato originário de qual país?;5;A;-;-;-;N
1, 2 ou 3. O xeque-mate mais rápido do xadrez é dado em quantos lances das peças pretas?;5;B;-;-;-;N
A base de pesquisa brasileira na Antártida, localizada nas Ilhas Shetland, chama-se:;4;Comandante Ferraz;Senador Albuquerque;General Figueiredo;Doutor Neves;N
Ilhas Virgens, Havaí ou Samoa. Onde está situado o porto de Pearl Harbour?;5;B;-;-;-;N
Coração, Pâncreas ou Ossos. Qual parte do corpo é envolvida pelo periósteo?;5;C;-;-;-;N
Qual é o único órgão humano que tem a capacidade de regeneração?;4;Fígado;Pâncreas;Coração;Pulmão;N
Qual é o nome das cavidades inferiores do coração?;4;Ventrículo;Aorta;Veia;Artéria;N
Em que país ocorreu a Guerra de Secessão?;3;Estados Unidos;Inglaterra;México;-;N
Quem foi a primeira mulher de Napoleão Bonaparte?;4;Josefina;Antônia;Carolina;Regina;N
Amapá, Acre ou Pará. Onde fica o Oiapoque?;5;A;-;-;-;N
Qual era o nome do Suriname antes da Independência?;3;Guiana Holandesa;Guiana Francesa;Guiana Inglesa;-;N
Sopro, Teclas ou Percussão. O cravo é um instrumento musical de quê?;5;B;-;-;-;N
Qual destes ossos do corpo humano fica mais próximo da cabeça?;4;Clavícula;Fíbula;Fêmur;Tíbia;N
Como é chamada a ondulação na superfície do mar?;3;Marola;Marolo;Maremoço;-;N
Onde o Rio Volga desemboca?;4;Mar Cáspio;Mar Vermelho;Mar Morto;Mar Amarelo;N
Qual é a capital da Jamaica?;4;Kingston;Port Antonio;Saint John's;Hamilton;N
Qual dessas não é considerada uma das Sete Maravilhas do mundo antigo?;4;Muralha da China;Jardins da Babilônia;Farol de Alexandria;Colosso de Rodes;N
Sarney, Collor ou Figueiredo. Por qual presidente foi decretado o Plano Cruzado?;5;A;-;-;-;N
O que a planta produz com as substâncias retiradas do solo?;3;Alimento;Clorofila;Folhas;;N
Rússia, Grécia ou Alemanha. Qual país era dividido pelo Muro de Berlim?;5;C;-;-;-;N
Bulgária, Alemanha ou Rússia. Em qual país reinou a Dinastia Romanov?;5;C;-;-;-;N
Que órgão das minhocas permite a cópula?;3;Clitelo;Anel;Narina;-;N
Que parte da planta é responsável pela reprodução?;4;Flor;Caule;Folhas;Raiz;N
A laringe é um órgão relacionado com o quê?;4;Fonação;Olfato;Tato;Paladar;N
Qual é a função do cicerone?;4;Guiar visitantes;Abrigar mendigos;Educar crianças;Policiar bairros;N
Protético, Proteico, Protista. Como se chama o dentista especializdo em próteses dentárias?;5;A;-;-;-;N
Qual vacina deve ser aplicada na primeira semana de vida de um recém-nascido?;3;BCG;Hepatite F;Varíola;-;N
Qual é a vacina que protege da paralisia infantil?;4;Sabin;Tríplice;Sarampo;BCG;N
Ásia, Oceania ou África. Em qual continente se localiza a Nova Zelândia?;5;B;-;-;-;N
Boca, Esôfago ou Estômago. Onde começa a digestão?;5;A;-;-;-;N
Que órgão é responsável por empurrar a pasta de alimento para o estômago?;4;Esôfago;Garganta;Boca;Intestino;N
Qual cidade europeia sediou o Tratado da Comunidade Europeia em 1992?;4;Maastricht;Zurique;Berlim;Paris;N
Em que ano ocorreu a Revolução Chinesa?;4;1949;1945;1947;1951;2314
A chinchila é um tipo de:;3;Roedor;Felino;Marsupial;-;N
Em qual órgão do corpo humano estão localizados os corpúsculos de Malpighi?;4;Rim;Pulmão;Língua;Fígado;N
Os alvéolos são células de que órgão humano?;3;Pulmão;Rim;Intestino;-;N
"Qual presidente brasileiro referiu-se à questão social como ""um caso de polícia""?";4;Washington Luís;Café Filho;Campos Sales;Fernando Collor;N
Qual é o ano de fundação de Brasília?;4;1960;1962;1956;1964;N
"O que significa a palavra russa ""voda"", de onde vem o nome ""vodka""?";3;Água;Limão;Álcool;-;N
Major, Tenente-coronel ou Coronel. Qual é a patente mais alta de um oficial do Corpo de Bombeiros?;5;C;-;-;-;N
Gorila, Elefante ou Girafa. Qual animal possui a maior pressão sanguínea?;5;C;-;-;-;N
Kim Kardashian, Cristiano Ronaldo ou The Rock. Quem é a pessoa com mais seguidores no Instagram?;5;B;-;-;-;N
Que orador grego superou a gagueira colocando pedras na boca?;3;Demóstenes;Sócrates;Aristóteles;-;N
