pergunta;alternativas;resposta_certa;alternativa_1;alternativa_2;alternativa_3;embaralhar
Qual das alternativas é uma fruta?;3;Tomate;Rabanete;Abobrinha;-;N
Que cantor estrangeiro gravou a música “Ana Júlia”?;3;George Harrison;Ricky Martin;Enrique Iglesias;-;N
No jogo de truco, qual o naipe mais forte de uma manilha?;4;Paus;Espadas;Ouros;Copas;N
Qual desses elementos não é radioativo?;4;Manganês;Césio;Urânio;Tório;N
O ator Arnold Schwarzenegger nasceu em qual país?;4;Áustria;Estados Unidos;Alemanha;Holanda;N
Qual desses não faz parte do sobrenome do Duque de Caxias?;4;Veiga;Alves;Lima;Silva;N
Que brasileira ficou conhecida como “Heroína dos Dois Mundos?;4;Anita Garibaldi;Marquesa de Santos;Princesa Isabela;Ana Néri;N
Em qual desses estados nasceu Zagallo?;4;Alagoas;Rio de Janeiro;Pará;Rio Grande do Norte;N
Qual foi a invenção mais conhecida de Alfred Nobel?;3;Dinamite;Radiografia;Nitroglicerina;-;N
Quem fez parte da banda “Os Mutantes”?;3;Rita Lee;Ney Matogrosso;Lobão;-;N
Qual era o nome da primeira esposa de Lula?;3;Marisa;Marise;Marísia;-;N
O coala é “primo” de qual animal?;3;Canguru;Esquilo;Panda;-;N
Quantos atletas tem uma equipe de polo a cavalo?;3;4;5;6;-;N
Que cidade é conhecida como Veneza Brasileira?;4;Recife;Rio de Janeiro;Florianópolis;Vitória;N
Bono Vox é vocalista de qual banda?;4;U2;Rush;Rolling Stones;Oasis;N
“Barriga Verde” é a pessoa nascida em qual estado?;4;Santa Catarina;Paraná;Goiás;Acre;N
Quem fez o famoso assalto do “Trem Pagador”?;4;Ronald Biggs;Pablo Escobar;Che Guevara;Al Capone;N
Quem era o Príncipe da Jovem Guarda?;4;Ronnie Von;Jerry Adriani;Erasmo Carlos;Wanderley Cardoso;N
Quem escreveu “Alice no País das Maravilhas”?;4;Lewis Carroll;Irmãos Grimm;JK Rowling;Hans Christian Anderssen;N
Qual ônibus espacial explodiu após o lançamento;4;Challenger;Columbia;Discovery;Endeavour;N
Malte, Uva ou Maçã. Qual é a matéria-prima do champagne?;5;B;-;-;-;N
Qual é a cor de um cavalo baio?;3;Amarelo;Avermelhado;Preto e branco;-;N
Qual desses animais não é um réptil?;3;Salamandra;Jacaré;Tartaruga;-;N
Que cantor tem o apelido de “Cachorrão”?;3;Jair Rodrigues;Wilson Simonal;Sidney Magal;-;N
Em que museu está exposta a pintura “Monalisa”?;3;Louvre;Prado;Metropolitan;-;N
Qual é a maior ilha das Antilhas?;3;Cuba;Jamaica;Porto Rico;-;N
Quem é considerado o “Rei do Baião”?;3;Luís Gonzaga;Pedro Sertanejo;Dominguinhos;-;N
A cantora Dalva de Oliveira era mãe de quem?;3;Pery Ribeiro;Cauby Peixoto;Jerry Adriani;-;N
Que ator de filmes de ação pronunciou a frase “Hasta la vista, baby”?;4;Arnold Schwarzenegger;Jean-Claude Van Damme;Steven Seagal;Sylvester Sallone;N
Quem foi Virgulino Ferreira da Silva?;4;Lampião;Tiradentes;Caramuru;Zumbi;N
Onde nasceu Albert Einstein?;4;Alemanha;Israel;Estados Unidos;Rússia;N
Aparecido dos Reis Morais e Marcelo dos Reis Morais formam que dupla sertaneja?;4;Gian e Giovani;Edson e Hudson;Chrystian e Ralf;Chitãozinho e Xororó;N
Quem foi o apresentador do programa “Um Instante, Maestro!”?;3;Flávio Cavalcanti;Jota Silvestre;Bolinha;-;N
Quem adotou o pseudônimo “Julinho da Adelaide” para driblar a censura?;3;Chico Buarque;Caetano Veloso;Gilberto Gil;-;N
Na série original para a televisão, quantos são os Power Rangers?;3;Cinco;Quatro;Três;-;321
Que imperador romano deu o título de cônsul para um cavalo?;3;Calígula;Nero;Tibério;-;N
Mauro Gonçalves era o nome de qual humorista?;3;Zacarias;Mussum;Costinha;-;N
Quem é o atual ministro da Saúde? (2026);3;Alexandre Padilha;Humberto Costa;José Pinotti;-;N
Que atriz é mãe do ator Cecil Thiré?;4;Tônia Carrero;Eva Wilma;Nicette Bruno;Nair Belo;N
Qual destes queijos tem menor teor calórico?;4;Minas;Muçarela;Ementhal;Prato;N
Em qual cidade italiana se passa a história de Romeu e Julieta?;4;Verona;Florença;Gênova;Veneza;N
Em que emissora de televisão Ana Maria Braga fez sua estreia?;4;TV Tupi;TV Globo;TV Manchete;TV Record;N
Em que ano aconteceu a campanha conhecida como “Diretas Já?”;4;1984;1985;1982;1987;3124
A qual movimento do cinema nacional pertenceu Glauber Rocha?;4;Cinema Novo;Chancada;Cinema Moderno;Realismo;N
Com qual música Chico Buarque de Holanda ganhou o Festival de Música da Record em 1966?;4;A Banda;Carolina;Carcará;Domingo no Parque;N
Que ator interpretava o personagem “Barbosa” no programa TV Pirata?;4;Ney Latorraca;Marco Nanini;Pedro Cardoso;Diogo Vilela;N
Que povo inventou a aliança de casamento?;4;Hindu;Chinês;Espanhol;Português;N
Qual era o signo do cantor John Lennon?;4;Libra;Leão;Peixes;Touro;N
Qual o nome da irmã mais famosa de Caetano Veloso?;3;Maria Bethânia;Gal Costa;Simone;-;N
Quem foi a primeira brasileira a ser indicada para o Oscar de Melhor Atriz?;3;Fernanda Montenegro;Sônia Braga;Marília Pêra;-;N
Big Apple, a Grande Maçã, é o apelido de que cidade?;3;Nova York;Londres;São Francisco;-;N
Onde nasceu a cantora de bolero Perla?;3;Paraguai;Colômbia;Uruguai;-;N
Que atriz dizia que para dormir utilizava apenas algumas gotas do perfume Channel Nº 5?;3;Marilyn Monroe;Elizabeth Taylor;Sophia Lauren;-;N
Um beijo na boca movimenta quantos músculos da face?;3;29;17;34;-;213
No cinema, quem interpretou o aventureiro Indiana Jones?;3;Harrison Ford;Michael Douglas;Sean Connery;-;N
As gôndolas são embarcações típicas de qual cidade italiana?;3;Veneza;Nápoles;Gênova;-;N
Que apelido teve Joaquim José da Silva Xavier?;3;Tiradentes;Aleijadinho;Caramuru;-;N
Quem apelidou a Seleção Brasileira de Futebol de “Seleção Canarinho”?;3;Geraldo José de Almeida;Aymoré Moreira;João Saldanha;-;N
Em que capital do Brasil o dia amanhece primeiro?;4;João Pessoa;Natal;Maceió;Salvador;N
Quem fez sucesso com a música “Tropicana”?;4;Alceu Valença;Moraes Moreira;Zé Ramalho;Geraldo Azevedo;N
Que país tem a maior reserva de petróleo do mundo?;4;Venezuela;Arábia Saudita;Irã;Iraque;N
Que humorista criou o bordão “Ih, nojento!”?;4;Tião Macalé;Lico;Costinha;Brandão Filho;N
Oscarito, estrela de filmes de Chancada, nasceu em que país?;4;Espanha;Argentina;Brasil;Portugal;N
A expressão “abraço de tamanduá” é sinônimo de quê?;4;Traição;Amizade;Carinho;Força;N
Que nome tem o doce feito com leite de coco, açúcar e gemas de ovos?;4;Baba-de-moça;Pé-de-moleque;Papo-de-anjo;Beijo de freira;N
Figo, Ronaldo ou Zidane. Qual jogador já vestiu a camisa 5 do Real Madrid?;5;C;-;-;-;-
De quem é a frase “O povo gosta de luxo, quem gosta de miséria é intelectual”?;4;Joãozinho Trinta;João Figueiredo;Clodovil;Miguel Falabella;N
Que cidade brasileira foi planejada com a forma de avião?;4;Brasília;Belo Horizonte;Florianópolis;Curitiba;N
Antes de se tornar cantor, Nelson Gonçalves praticava que esporte?;4;Boxe;Tênis;Basquete;Futebol;N
Quantas vezes o humorista Chico Anysio já se casou?;4;6 vezes;5 vezes;4 vezes;3 vezes;4321
Qual foi a primeira novela da TV brasileira?;4;Sua Vida Me Pertence;Irmãos Coragem;Selva de Pedra;Beto Rockfeller;N
